Source Label	Source Property	Target Label	Target Property	Confidence	Sample Evidence	Reason
GeneOntology_Term	id	InterPro_Classification	id	10	GO:0000001 matches GO:0000001 format	Both use GO:XXXXXXX formats for Gene Ontology terms
ENZYME_Enzyme	id	InterPro_HomologousSuperfamily	external_docs	9	ENZYME_Enzyme.id '1.1.1.1' matches InterPro_HomologousSuperfamily.external_docs 'EC:1.1.1.1' format	Both represent Enzyme Commission (EC) numbers, with InterPro prefixing 'EC:' to the standard EC format
ENZYME_Enzyme	id	GeneOntology_Term	xrefs	9	ENZYME_Enzyme.id '1.1.1.1' matches GeneOntology_Term.xrefs 'EC:2.5.1.30' format	ENZYME_Enzyme.id contains EC numbers (format X.X.X.X) which match EC references in GeneOntology_Term.xrefs (format 'EC:X.X.X.X')
ENZYME_Enzyme	id	InterPro_ActiveSite	external_docs	9	ENZYME_Enzyme.id '1.1.1.1' matches InterPro_ActiveSite.external_docs 'EC:3.4.21.19' format (EC numbers)	Both represent Enzyme Commission (EC) numbers with matching format patterns
PUBLICATION	pmid	InterPro_Publication	pmid	9	PUBLICATION.pmid=38193819 corresponds to the same publication as InterPro_Publication.pmid=38193819	Both contain integer PubMed ID numbers which are globally unique identifiers for publications
InterPro_HomologousSuperfamily	external_docs	GeneOntology_Term	xrefs	9	InterPro: 'EC:3.4.21' matches GO: 'EC:2.5.1.30' format	Both contain EC numbers in the format 'EC:X.X.X.X'
DRUG	ids	PROTEIN	ids	9	DRUG: 'ChEMBL:CHEMBL590186' matches PROTEIN: 'ChEMBL:CHEMBL2386' format	Both use ChEMBL:CHEMBLXXXXXX formats for chemical/protein identifiers
DRUG	ids	CMAUP_Ingredient	chembl_id	9	DRUG.ids: 'ChEMBL:CHEMBL590186' matches CMAUP_Ingredient.chembl_id: 'CHEMBL590186' format	Both represent ChEMBL compound identifiers with the pattern 'CHEMBL[0-9]+'
DRUG	ids	DGIdb_Drug	id	9	ChEMBL:CHEMBL590186 (DRUG.ids) matches chembl:CHEMBL101168 (DGIdb_Drug.id) format	Both use ChEMBL compound identifier format with 'CHEMBL:' prefix
DRUG	ids	CMAUP_Target	chembl_id	9	DRUG: 'ChEMBL:CHEMBL590186' matches CMAUP_Target: 'CHEMBL3091268' format	Both contain ChEMBL compound identifiers with the distinctive 'CHEMBL' prefix followed by numbers
DRUG	ids	COMPOUND	ids	9	DRUG: 'ChEMBL:CHEMBL590186' matches COMPOUND: 'ChEMBL:CHEMBL450143' format	Both use ChEMBL:CHEMBLXXXXXX formats for chemical compound identification
PROTEIN	ids	CMAUP_Ingredient	chembl_id	9	PROTEIN: 'ChEMBL:CHEMBL2386' matches CMAUP_Ingredient: 'CHEMBL1911631' (both follow CHEMBL numeric ID pattern)	Both contain ChEMBL compound identifiers with matching format patterns
PROTEIN	ids	DGIdb_Drug	id	9	PROTEIN: 'ChEMBL:CHEMBL2386' matches DGIdb_Drug: 'chembl:CHEMBL101168' format	Both use ChEMBL identifier format with CHEMBL prefix followed by numeric ID
PROTEIN	ids	COMPOUND	ids	9	ChEMBL:CHEMBL2386 (PROTEIN) matches ChEMBL:CHEMBL450143 (COMPOUND) format	Both use ChEMBL:CHEMBL[numeric] format for chemical/protein identifiers
GeneOntology_Typedef	xrefs	HPO_Typedef	xrefs	9	RO:0002093 (from GeneOntology_Typedef) matches RO:0000052 (from HPO_Typedef) format; BFO:0000051 matches BFO:0000050 format	Both use RO:XXXXXXXX and BFO:XXXXXXX formats for referencing Relationship Ontology and Basic Formal Ontology terms
GeneOntology_Typedef	xrefs	DiseaseOntology_Header	property_values	9	IAO:0000700 appears in both GeneOntology_Typedef.xrefs and DiseaseOntology_Header.property_values	Both contain IAO:XXXXXXX format identifiers
ClinicalTrials.gov_Document	url	CLINICAL_TRIAL	ids	9	NCT03858335 (from url) matches NCT:NCT07227558 format (from ids)	Both contain ClinicalTrials.gov NCT identifiers in the format NCT followed by 8 digits
ClinicalTrials.gov_Trial	id	CLINICAL_TRIAL	ids	9	NCT00000102 (source) matches NCT:NCT07227558 (target) - both follow NCT followed by 8 digits format	Both represent ClinicalTrials.gov identifiers with the specific NCTXXXXXXX format
ENZYME_Enzyme	id	GeneOntology_Term	property_values	8	ENZYME_Enzyme.id '1.1.1.1' matches GeneOntology_Term.property_values 'skos:exactMatch EC:2.5.1.30' format	ENZYME_Enzyme.id contains EC numbers (format X.X.X.X) which match EC references in GeneOntology_Term.property_values (format 'skos:exactMatch EC:X.X.X.X')
InterPro_Classification	id	GeneOntology_Header	property_values	8	InterPro_Classification.id: 'GO:0000001' matches format in GeneOntology_Header.property_values: 'has_ontology_root_term GO:0003674'	Both contain Gene Ontology (GO) identifiers in the format 'GO:XXXXXXX'
